m(kg),d(m),DeltaE(J),tau(s),gamma(1/s)
1e-25,1e-09,6.6743e-52,1.5800485698874787e+17,6.328919370315393e-18
1e-25,3.1622776601683795e-09,2.1105989787261815e-52,4.99655229453617e+17,2.0013800337755297e-18
1e-25,1e-08,6.6743e-53,1.5800485698874788e+18,6.328919370315393e-19
1e-25,3.162277660168379e-08,2.1105989787261816e-53,4.99655229453617e+18,2.0013800337755294e-19
1e-25,1e-07,6.674300000000001e-54,1.5800485698874788e+19,6.328919370315394e-20
1e-25,3.162277660168379e-07,2.1105989787261815e-54,4.996552294536171e+19,2.0013800337755293e-20
1e-25,1e-06,6.6743e-55,1.580048569887479e+20,6.3289193703153925e-21
7.196856730011529e-24,1e-09,3.456936785159295e-48,30505961854069.758,3.27804776254446e-14
7.196856730011529e-24,3.1622776601683795e-09,1.0931793968323534e-48,96468321673073.56,1.0366097208459284e-14
7.196856730011529e-24,1e-08,3.456936785159295e-49,305059618540697.6,3.278047762544459e-15
7.196856730011529e-24,3.162277660168379e-08,1.0931793968323536e-49,964683216730735.5,1.0366097208459284e-15
7.196856730011529e-24,1e-07,3.4569367851592956e-50,3050596185406975.5,3.2780477625444597e-16
7.196856730011529e-24,3.162277660168379e-07,1.0931793968323537e-50,9646832167307354.0,1.0366097208459285e-16
7.196856730011529e-24,1e-06,3.4569367851592954e-51,3.0505961854069756e+16,3.27804776254446e-17
5.179474679231223e-22,1e-09,1.7905116546435557e-44,5889779126.905141,1.6978565383409593e-10
5.179474679231223e-22,3.1622776601683795e-09,5.662095005750436e-45,18625116956.33815,5.369093801366433e-11
5.179474679231223e-22,1e-08,1.7905116546435557e-45,58897791269.05141,1.6978565383409592e-11
5.179474679231223e-22,3.162277660168379e-08,5.662095005750437e-46,186251169563.38147,5.369093801366433e-12
5.179474679231223e-22,1e-07,1.790511654643556e-46,588977912690.514,1.6978565383409594e-12
5.179474679231223e-22,3.162277660168379e-07,5.662095005750437e-47,1862511695633.8147,5.369093801366434e-13
5.179474679231223e-22,1e-06,1.7905116546435558e-47,5889779126905.141,1.6978565383409593e-13
3.727593720314923e-20,1e-09,9.273909778094544e-41,1137138.3183939888,8.794004949304031e-07
3.727593720314923e-20,3.1622776601683795e-09,2.932667771368547e-41,3595947.1007787483,2.78090853945943e-07
3.727593720314923e-20,1e-08,9.273909778094545e-42,11371383.183939887,8.794004949304031e-08
3.727593720314923e-20,3.162277660168379e-08,2.9326677713685477e-42,35959471.00778747,2.7809085394594307e-08
3.727593720314923e-20,1e-07,9.273909778094546e-43,113713831.83939886,8.794004949304032e-09
3.727593720314923e-20,3.162277660168379e-07,2.9326677713685473e-43,359594710.0778748,2.78090853945943e-09
3.727593720314923e-20,1e-06,9.273909778094545e-44,1137138318.3939888,8.79400494930403e-10
2.6826957952797383e-18,1e-09,4.803398087311633e-37,219.54703687493515,0.004554832596395502
2.6826957952797383e-18,3.1622776601683795e-09,1.5189678464401099e-37,694.2686900657708,0.0014403645365388235
2.6826957952797383e-18,1e-08,4.803398087311632e-38,2195.4703687493516,0.0004554832596395502
2.6826957952797383e-18,3.162277660168379e-08,1.51896784644011e-38,6942.686900657707,0.00014403645365388236
2.6826957952797383e-18,1e-07,4.803398087311633e-39,21954.703687493515,4.5548325963955025e-05
2.6826957952797383e-18,3.162277660168379e-07,1.51896784644011e-39,69426.86900657706,1.4403645365388238e-05
2.6826957952797383e-18,1e-06,4.803398087311633e-40,219547.03687493512,4.5548325963955035e-06
1.9306977288832535e-16,1e-09,2.487907876749809e-33,0.04238789654774869,23.591640101167325
1.9306977288832535e-16,3.1622776601683795e-09,7.867455499202866e-34,0.13404229831447406,7.4603316458653905
1.9306977288832535e-16,1e-08,2.4879078767498087e-34,0.42387896547748694,2.359164010116732
1.9306977288832535e-16,3.162277660168379e-08,7.867455499202867e-35,1.3404229831447405,0.7460331645865391
1.9306977288832535e-16,1e-07,2.487907876749809e-35,4.238789654774869,0.23591640101167327
1.9306977288832535e-16,3.162277660168379e-07,7.867455499202867e-36,13.404229831447404,0.07460331645865392
1.9306977288832535e-16,1e-06,2.4879078767498092e-36,42.38789654774869,0.023591640101167325
1.389495494373136e-14,1e-09,1.2886055851885444e-29,8.183821559687705e-06,122192.30254553107
1.389495494373136e-14,3.1622776601683795e-09,4.074928654809935e-30,2.587951609300477e-05,38640.59885842688
1.389495494373136e-14,1e-08,1.2886055851885444e-30,8.183821559687703e-05,12219.23025455311
1.389495494373136e-14,3.162277660168379e-08,4.0749286548099355e-31,0.0002587951609300477,3864.0598858426874
1.389495494373136e-14,1e-07,1.2886055851885445e-31,0.0008183821559687703,1221.9230254553108
1.389495494373136e-14,3.162277660168379e-07,4.0749286548099355e-32,0.002587951609300477,386.4059885842687
1.389495494373136e-14,1e-06,1.2886055851885444e-32,0.008183821559687703,122.19230254553109
1e-12,1e-09,6.674299999999999e-26,1.5800485698874792e-09,632891937.0315392
1e-12,3.1622776601683795e-09,2.1105989787261808e-26,4.996552294536172e-09,200138003.37755287
1e-12,1e-08,6.674299999999998e-27,1.5800485698874793e-08,63289193.703153916
1e-12,3.162277660168379e-08,2.110598978726181e-27,4.996552294536171e-08,20013800.337755293
1e-12,1e-07,6.674299999999999e-28,1.580048569887479e-07,6328919.3703153925
1e-12,3.162277660168379e-07,2.110598978726181e-28,4.996552294536171e-07,2001380.0337755291
1e-12,1e-06,6.674299999999999e-29,1.580048569887479e-06,632891.9370315393
